salesordernumber,orderdate,year,quarter,month,product,category,subcategory,color,standardcost,region,country,reseller,businesstype,salesperson,quantity,unitprice,sales,totalcost,profit
SO58968,2019-12-12,2019,4,12,"Touring-1000 Blue, 60",Bikes,Touring Bikes,Blue,1481.94,France,France,Cycles Sales and Repair,Specialty Bike Shop,Amy Alberts,1,1430.44,1430.44,1481.94,-51.50
SO53582,2019-09-24,2019,3,9,AWC Logo Cap,Clothing,Caps,Multi,6.92,Central,United States,Paints and Solvents Company,Specialty Bike Shop,Linda Mitchell,1,5.39,5.39,6.92,-1.53
SO46323,2018-06-01,2018,2,6,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,1912.15,Northwest,United States,Sports Commodities,Specialty Bike Shop,David Campbell,1,850.00,850.00,1912.15,-1062.15
SO58961,2019-12-11,2019,4,12,Front Brakes,Components,Brakes,Silver,47.29,Northwest,United States,Another Bicycle Company,Value Added Reseller,David Campbell,1,63.90,63.90,47.29,16.61
SO49479,2019-03-11,2019,1,3,Cable Lock,Accessories,Locks,NA,10.31,Northeast,United States,Outdoor Equipment Store,Warehouse,Jillian Carson,1,15.00,15.00,10.31,4.69
SO47681,2018-10-07,2018,4,10,Cable Lock,Accessories,Locks,NA,10.31,Southeast,United States,Valuable Bike Parts Company,Value Added Reseller,Tsvi Reiter,1,15.00,15.00,10.31,4.69
SO69545,2020-05-28,2020,2,5,Bike Wash - Dissolver,Accessories,Cleaners,NA,2.97,Southwest,United States,Sheet Metal Manufacturing,Value Added Reseller,Stephen Jiang,1,4.77,4.77,2.97,1.80
SO48069,2018-11-25,2018,4,11,Cable Lock,Accessories,Locks,NA,10.31,Southwest,United States,The Gear Store,Value Added Reseller,Jillian Carson,1,15.00,15.00,10.31,4.69
SO53583,2019-09-24,2019,3,9,Rear Brakes,Components,Brakes,Silver,47.29,Southwest,United States,Paint Supply,Warehouse,Michael Blythe,1,63.90,63.90,47.29,16.61
SO47984,2018-11-05,2018,4,11,AWC Logo Cap,Clothing,Caps,Multi,5.23,Southwest,United States,Highway Bike Shop,Specialty Bike Shop,Linda Mitchell,1,5.19,5.19,5.23,-0.04
SO53459,2019-09-02,2019,3,9,Rear Brakes,Components,Brakes,Silver,47.29,Southwest,United States,Professional Sales and Service,Value Added Reseller,Linda Mitchell,1,63.90,63.90,47.29,16.61
SO63213,2020-02-18,2020,1,2,"Racing Socks, M",Clothing,Socks,White,3.36,Southwest,United States,Mountain Bike Center,Value Added Reseller,Linda Mitchell,1,5.39,5.39,3.36,2.03
SO44544,2017-11-18,2017,4,11,"Mountain Bike Socks, L",Clothing,Socks,White,3.40,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,1,5.70,5.70,3.40,2.30
SO50744,2019-06-26,2019,2,6,Cable Lock,Accessories,Locks,NA,10.31,Southwest,United States,Coalition Bike Company,Value Added Reseller,Linda Mitchell,3,15.00,45.00,30.93,14.07
SO49066,2019-02-06,2019,1,2,Cable Lock,Accessories,Locks,NA,10.31,Canada,Canada,Custom Accessories Company,Warehouse,Garrett Vargas,3,15.00,45.00,30.93,14.07
SO51702,2019-08-03,2019,3,8,Patch Kit/8 Patches,Accessories,Tires and Tubes,NA,0.86,Canada,Canada,Commuter Bicycle Store,Value Added Reseller,Jae Pak,3,1.37,4.11,2.58,1.53
SO53527,2019-09-14,2019,3,9,Bike Wash - Dissolver,Accessories,Cleaners,NA,2.97,Canada,Canada,Rural Cycle Emporium,Value Added Reseller,Jae Pak,3,4.77,14.31,8.91,5.40
SO47973,2018-11-03,2018,4,11,"Road-650 Black, 52",Bikes,Road Bikes,Black,486.71,Canada,Canada,General Supplies,Value Added Reseller,Jae Pak,3,469.79,1409.37,1460.13,-50.76
SO46052,2018-05-13,2018,2,5,"Mountain Bike Socks, M",Clothing,Socks,White,3.40,Northwest,United States,Moderately-Priced Bikes Store,Specialty Bike Shop,Pamela Ansman-Wolfe,3,5.70,17.10,10.20,6.90
SO55295,2019-10-20,2019,4,10,Water Bottle - 30 oz.,Accessories,Bottles and Cages,NA,1.87,Northwest,United States,Official Parts Shop,Specialty Bike Shop,Tete Mensa-Annan,3,2.99,8.97,5.61,3.36
SO63202,2020-02-17,2020,1,2,Bike Wash - Dissolver,Accessories,Cleaners,NA,2.97,Northwest,United States,Frugal Bike Shop,Value Added Reseller,Linda Mitchell,3,4.77,14.31,8.91,5.40
SO51120,2019-07-15,2019,3,7,Bike Wash - Dissolver,Accessories,Cleaners,NA,2.97,United Kingdom,United Kingdom,Exhibition Showroom,Warehouse,José Saraiva,3,4.77,14.31,8.91,5.40
SO58920,2019-12-03,2019,4,12,Patch Kit/8 Patches,Accessories,Tires and Tubes,NA,0.86,United Kingdom,United Kingdom,Riding Cycles,Warehouse,José Saraiva,3,1.37,4.11,2.58,1.53
SO67276,2020-04-08,2020,2,4,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,France,France,Spare Parts Co.,Value Added Reseller,Ranjit Varkey Chudukatil,3,72.00,216.00,134.64,81.36
SO51101,2019-07-08,2019,3,7,Water Bottle - 30 oz.,Accessories,Bottles and Cages,NA,1.87,Northeast,United States,Seventh Bike Store,Value Added Reseller,Jillian Carson,3,2.99,8.97,5.61,3.36
SO50306,2019-05-28,2019,2,5,Cable Lock,Accessories,Locks,NA,10.31,Southeast,United States,eCommerce Bikes,Warehouse,Tsvi Reiter,4,15.00,60.00,41.24,18.76
SO59057,2019-12-27,2019,4,12,"Classic Vest, S",Clothing,Vests,Blue,23.75,Central,United States,Responsible Bike Dealers,Specialty Bike Shop,Michael Blythe,4,38.10,152.40,95.00,57.40
SO49833,2019-04-05,2019,2,4,Cable Lock,Accessories,Locks,NA,10.31,France,France,Spare Parts Co.,Value Added Reseller,Ranjit Varkey Chudukatil,4,15.00,60.00,41.24,18.76
SO53554,2019-09-19,2019,3,9,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,Australia,Australia,Inexpensive Parts Shop,Specialty Bike Shop,Syed Abbas,4,72.00,288.00,179.52,108.48
SO69410,2020-05-04,2020,2,5,"Touring-3000 Yellow, 62",Bikes,Touring Bikes,Yellow,461.44,Australia,Australia,Fast Bike Works,Specialty Bike Shop,Lynn Tsoflias,4,445.41,1781.64,1845.76,-64.12
SO53467,2019-09-04,2019,3,9,"Classic Vest, M",Clothing,Vests,Blue,23.75,Northwest,United States,Successful Sales Company,Specialty Bike Shop,Tete Mensa-Annan,4,38.10,152.40,95.00,57.40
SO55322,2019-10-29,2019,4,10,Water Bottle - 30 oz.,Accessories,Bottles and Cages,NA,1.87,Southwest,United States,Bike Dealers Association,Warehouse,Shu Ito,4,2.99,11.96,7.48,4.48
SO58909,2019-12-01,2019,4,12,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,360.94,Southwest,United States,Eastside Department Store,Warehouse,Linda Mitchell,5,356.90,1784.50,1804.70,-20.20
SO47422,2018-09-18,2018,3,9,HL Road Handlebars,Components,Handlebars,NA,48.55,Southwest,United States,Elite Bikes,Warehouse,Jillian Carson,5,65.60,328.00,242.75,85.25
SO48048,2018-11-18,2018,4,11,"Men's Sports Shorts, M",Clothing,Shorts,Black,24.75,Southwest,United States,Sheet Metal Manufacturing,Value Added Reseller,Jillian Carson,5,35.99,179.95,123.75,56.20
SO49828,2019-04-03,2019,2,4,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,605.65,Canada,Canada,Retail Mall,Warehouse,Jae Pak,5,600.26,3001.30,3028.25,-26.95
SO69455,2020-05-12,2020,2,5,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,Canada,Canada,Standard Bikes,Specialty Bike Shop,Jae Pak,5,72.00,360.00,224.40,135.60
SO63173,2020-02-10,2020,1,2,Water Bottle - 30 oz.,Accessories,Bottles and Cages,NA,1.87,United Kingdom,United Kingdom,Uttermost Bike Shop,Value Added Reseller,Amy Alberts,5,2.99,14.95,9.35,5.60
SO50728,2019-06-22,2019,2,6,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,653.70,United Kingdom,United Kingdom,Metropolitan Bicycle Supply,Warehouse,José Saraiva,5,736.15,3680.75,3268.50,412.25
SO50726,2019-06-21,2019,2,6,HL Road Handlebars,Components,Handlebars,NA,48.55,Southeast,United States,Excellent Riding Supplies,Value Added Reseller,Tsvi Reiter,5,65.60,328.00,242.75,85.25
SO47675,2018-10-05,2018,4,10,Cable Lock,Accessories,Locks,NA,10.31,Northeast,United States,Seventh Bike Store,Value Added Reseller,Michael Blythe,6,15.00,90.00,61.86,28.14
SO65174,2020-03-05,2020,1,3,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,Canada,Canada,Vigorous Exercise Company,Warehouse,Jae Pak,6,72.00,432.00,269.28,162.72
SO50693,2019-06-11,2019,2,6,"Half-Finger Gloves, L",Clothing,Gloves,Black,9.71,Northwest,United States,Safe Cycles Shop,Warehouse,Pamela Ansman-Wolfe,7,14.13,98.91,67.97,30.94
SO63233,2020-02-21,2020,1,2,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,Germany,Germany,Excellent Bikes,Warehouse,Rachel Valdez,7,72.00,504.00,314.16,189.84
SO58915,2019-12-02,2019,4,12,"Short-Sleeve Classic Jersey, L",Clothing,Jerseys,Yellow,41.57,Australia,Australia,Bike Part Wholesalers,Value Added Reseller,Syed Abbas,8,32.39,259.12,332.56,-73.44
SO51791,2019-08-18,2019,3,8,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,Canada,Canada,Consolidated Messenger,Value Added Reseller,Garrett Vargas,8,72.00,576.00,359.04,216.96
SO50748,2019-06-26,2019,2,6,"Sport-100 Helmet, Red",Accessories,Helmets,Red,13.88,Southwest,United States,Advanced Bike Components,Warehouse,Michael Blythe,8,20.19,161.52,111.04,50.48
SO51789,2019-08-18,2019,3,8,AWC Logo Cap,Clothing,Caps,Multi,6.92,Northwest,United States,Outstanding Cycles,Warehouse,Pamela Ansman-Wolfe,9,5.39,48.51,62.28,-13.77
SO58981,2019-12-14,2019,4,12,"Classic Vest, M",Clothing,Vests,Blue,23.75,Canada,Canada,Rapid Bikes,Warehouse,Jae Pak,10,38.10,381.00,237.50,143.50
SO48350,2018-12-20,2018,4,12,"Full-Finger Gloves, L",Clothing,Gloves,Black,15.67,Canada,Canada,Rural Cycle Emporium,Value Added Reseller,Jae Pak,31,19.00,589.00,485.77,103.23
SO43897,2017-08-25,2017,3,8,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,31.72,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,28.84,57.68,63.44,-5.76
SO43897,2017-08-25,2017,3,8,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2024.99,4049.98,3796.18,253.80
SO43897,2017-08-25,2017,3,8,"Mountain-100 Black, 38",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2024.99,4049.98,3796.18,253.80
SO43897,2017-08-25,2017,3,8,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,31.72,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,28.84,57.68,63.44,-5.76
SO44544,2017-11-18,2017,4,11,"HL Mountain Frame - Silver, 48",Components,Mountain Frames,Silver,706.81,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,818.70,1637.40,1413.62,223.78
SO44544,2017-11-18,2017,4,11,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,12.03,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,20.19,40.38,24.06,16.32
SO44544,2017-11-18,2017,4,11,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2024.99,4049.98,3796.18,253.80
SO44544,2017-11-18,2017,4,11,"Mountain-100 Black, 42",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2024.99,4049.98,3796.18,253.80
SO44544,2017-11-18,2017,4,11,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2039.99,4079.98,3824.30,255.68
SO45321,2018-02-18,2018,1,2,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2039.99,4079.98,3824.30,255.68
SO45321,2018-02-18,2018,1,2,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2039.99,4079.98,3824.30,255.68
SO46082,2018-05-23,2018,2,5,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,12.03,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,20.19,40.38,24.06,16.32
SO46082,2018-05-23,2018,2,5,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2039.99,4079.98,3824.30,255.68
SO46082,2018-05-23,2018,2,5,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2039.99,4079.98,3824.30,255.68
SO46082,2018-05-23,2018,2,5,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,31.72,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,28.84,57.68,63.44,-5.76
SO46082,2018-05-23,2018,2,5,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2039.99,4079.98,3824.30,255.68
SO46082,2018-05-23,2018,2,5,"Mountain-100 Black, 38",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,2024.99,4049.98,3796.18,253.80
SO46082,2018-05-23,2018,2,5,"Sport-100 Helmet, Red",Accessories,Helmets,Red,12.03,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,20.19,40.38,24.06,16.32
SO47028,2018-08-24,2018,3,8,LL Mountain Front Wheel,Components,Wheels,Black,26.97,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,36.45,72.90,53.94,18.96
SO47028,2018-08-24,2018,3,8,"Half-Finger Gloves, M",Clothing,Gloves,Black,9.71,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,14.13,28.26,19.42,8.84
SO47028,2018-08-24,2018,3,8,HL Mountain Front Wheel,Components,Wheels,Black,133.30,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,180.13,360.26,266.60,93.66
SO47028,2018-08-24,2018,3,8,ML Mountain Rear Wheel,Components,Wheels,Black,104.80,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,141.62,283.24,209.60,73.64
SO47028,2018-08-24,2018,3,8,"Full-Finger Gloves, S",Clothing,Gloves,Black,15.67,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,22.79,45.58,31.34,14.24
SO47028,2018-08-24,2018,3,8,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1229.46,2458.92,2211.62,247.30
SO47028,2018-08-24,2018,3,8,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,209.26,418.52,371.64,46.88
SO47028,2018-08-24,2018,3,8,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,660.91,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,744.27,1488.54,1321.82,166.72
SO47028,2018-08-24,2018,3,8,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,185.82,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,209.26,418.52,371.64,46.88
SO48049,2018-11-19,2018,4,11,HL Mountain Handlebars,Components,Handlebars,NA,48.55,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,65.60,131.20,97.10,34.10
SO48049,2018-11-19,2018,4,11,AWC Logo Cap,Clothing,Caps,Multi,5.23,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,5.19,10.38,10.46,-0.08
SO48049,2018-11-19,2018,4,11,HL Mountain Front Wheel,Components,Wheels,Black,133.30,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,180.13,360.26,266.60,93.66
SO48049,2018-11-19,2018,4,11,"Women's Tights, L",Clothing,Tights,Black,30.93,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,44.99,89.98,61.86,28.12
SO48049,2018-11-19,2018,4,11,ML Mountain Front Wheel,Components,Wheels,Black,92.81,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,125.42,250.84,185.62,65.22
SO48049,2018-11-19,2018,4,11,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,653.70,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,736.15,1472.30,1307.40,164.90
SO48049,2018-11-19,2018,4,11,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,209.26,418.52,371.64,46.88
SO48049,2018-11-19,2018,4,11,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.88,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,20.19,40.38,27.76,12.62
SO48049,2018-11-19,2018,4,11,"ML Mountain Frame - Black, 44",Components,Mountain Frames,Black,185.82,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,209.26,418.52,371.64,46.88
SO49132,2019-02-20,2019,1,2,ML Mountain Handlebars,Components,Handlebars,NA,24.99,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,33.77,67.54,49.98,17.56
SO49132,2019-02-20,2019,1,2,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1229.46,2458.92,2211.62,247.30
SO49132,2019-02-20,2019,1,2,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1117.86,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1242.85,2485.70,2235.72,249.98
SO49132,2019-02-20,2019,1,2,ML Mountain Rear Wheel,Components,Wheels,Black,104.80,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,141.62,283.24,209.60,73.64
SO49132,2019-02-20,2019,1,2,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1105.81,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1229.46,2458.92,2211.62,247.30
SO49132,2019-02-20,2019,1,2,HL Mountain Rear Wheel,Components,Wheels,Black,145.28,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,196.33,392.66,290.56,102.10
SO50294,2019-05-25,2019,2,5,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1117.86,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1242.85,2485.70,2235.72,249.98
SO50294,2019-05-25,2019,2,5,ML Mountain Front Wheel,Components,Wheels,Black,92.81,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,125.42,250.84,185.62,65.22
SO50294,2019-05-25,2019,2,5,AWC Logo Cap,Clothing,Caps,Multi,5.23,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,5.19,10.38,10.46,-0.08
SO50294,2019-05-25,2019,2,5,"Sport-100 Helmet, Red",Accessories,Helmets,Red,13.88,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,20.19,40.38,27.76,12.62
SO50294,2019-05-25,2019,2,5,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,653.70,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,736.15,1472.30,1307.40,164.90
SO50294,2019-05-25,2019,2,5,LL Mountain Rear Wheel,Components,Wheels,Black,38.96,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,52.65,105.30,77.92,27.38
SO50294,2019-05-25,2019,2,5,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,185.82,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,209.26,418.52,371.64,46.88
SO50294,2019-05-25,2019,2,5,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,29.08,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,28.84,57.68,58.16,-0.48
SO50294,2019-05-25,2019,2,5,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1229.46,2458.92,2211.62,247.30
SO50294,2019-05-25,2019,2,5,"Mountain-300 Black, 44",Bikes,Mountain Bikes,Black,598.44,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,647.99,1295.98,1196.88,99.10
SO50294,2019-05-25,2019,2,5,HL Mountain Handlebars,Components,Handlebars,NA,48.55,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,65.60,131.20,97.10,34.10
SO50294,2019-05-25,2019,2,5,HL Mountain Rear Wheel,Components,Wheels,Black,145.28,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,196.33,392.66,290.56,102.10
SO50294,2019-05-25,2019,2,5,Minipump,Accessories,Pumps,NA,8.25,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,11.99,23.98,16.50,7.48
SO50294,2019-05-25,2019,2,5,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,660.91,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,744.27,1488.54,1321.82,166.72
SO50294,2019-05-25,2019,2,5,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,29.08,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,28.84,57.68,58.16,-0.48
SO50294,2019-05-25,2019,2,5,ML Mountain Handlebars,Components,Handlebars,NA,24.99,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,33.77,67.54,49.98,17.56
SO51845,2019-08-27,2019,3,8,"Mountain-500 Silver, 40",Bikes,Mountain Bikes,Silver,308.22,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,338.99,677.98,616.44,61.54
SO51845,2019-08-27,2019,3,8,"LL Mountain Frame - Silver, 44",Components,Mountain Frames,Silver,144.59,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,158.43,316.86,289.18,27.68
SO51845,2019-08-27,2019,3,8,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,Silver,419.78,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,461.69,923.38,839.56,83.82
SO51845,2019-08-27,2019,3,8,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1251.98,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1376.99,2753.98,2503.96,250.02
SO51845,2019-08-27,2019,3,8,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,747.20,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,818.70,1637.40,1494.40,143.00
SO51845,2019-08-27,2019,3,8,"LL Mountain Frame - Black, 42",Components,Mountain Frames,Black,136.79,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,149.87,299.74,273.58,26.16
SO51845,2019-08-27,2019,3,8,"ML Mountain Frame-W - Silver, 46",Components,Mountain Frames,Silver,199.38,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,218.45,436.90,398.76,38.14
SO51845,2019-08-27,2019,3,8,LL Mountain Pedal,Components,Pedals,Silver/Black,17.98,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,24.29,48.58,35.96,12.62
SO57144,2019-11-22,2019,4,11,"Mountain-500 Black, 44",Bikes,Mountain Bikes,Black,294.58,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,323.99,647.98,589.16,58.82
SO57144,2019-11-22,2019,4,11,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1251.98,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1376.99,2753.98,2503.96,250.02
SO57144,2019-11-22,2019,4,11,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1251.98,Southwest,United States,Resale Services,Value Added Reseller,Linda Mitchell,2,1376.99,2753.98,2503.96,250.02
