ProductKey,Product,Category,Subcategory,Color,Total_Sales,Total_Profit,Total_Cost,Total_Quantity,Total_Orders,Profit_Margin_%
239,"HL Road Frame - Red, 62",Components,Road Frames,Red,192862.54,14465.06,178397.48,247,102,7.5
240,"HL Road Frame - Red, 62",Components,Road Frames,Red,164049.9,-1859.11,165909.01,191,90,-1.13
241,"HL Road Frame - Red, 44",Components,Road Frames,Red,20468.16,273.0,20195.16,27,17,1.33
242,"HL Road Frame - Red, 44",Components,Road Frames,Red,195205.0,14640.74,180564.26,250,106,7.5
243,"HL Road Frame - Red, 44",Components,Road Frames,Red,164908.8,-1868.88,166777.68,192,86,-1.13
245,"HL Road Frame - Red, 48",Components,Road Frames,Red,37479.36,2811.03,34668.33,48,21,7.5
246,"HL Road Frame - Red, 48",Components,Road Frames,Red,52392.9,-593.77,52986.67,61,23,-1.13
253,"LL Road Frame - Black, 58",Components,Road Frames,Black,34108.78,454.58,33654.2,191,99,1.33
254,"LL Road Frame - Black, 58",Components,Road Frames,Black,80197.84,6015.62,74182.22,436,170,7.5
255,"LL Road Frame - Black, 58",Components,Road Frames,Black,58675.7,-665.87,59341.57,290,116,-1.13
256,"LL Road Frame - Black, 60",Components,Road Frames,Black,178.58,2.38,176.2,1,1,1.33
257,"LL Road Frame - Black, 60",Components,Road Frames,Black,12323.98,924.42,11399.56,67,25,7.5
258,"LL Road Frame - Black, 60",Components,Road Frames,Black,12342.13,-140.07,12482.2,61,26,-1.13
262,"LL Road Frame - Red, 44",Components,Road Frames,Red,55733.82,743.38,54990.44,303,158,1.33
263,"LL Road Frame - Red, 44",Components,Road Frames,Red,139048.02,10283.98,128764.04,688,216,7.4
264,"LL Road Frame - Red, 48",Components,Road Frames,Red,37339.82,498.0,36841.82,203,110,1.33
265,"LL Road Frame - Red, 48",Components,Road Frames,Red,94285.78,7070.55,87215.23,466,176,7.5
266,"LL Road Frame - Red, 52",Components,Road Frames,Red,1287.58,17.16,1270.42,7,6,1.33
267,"LL Road Frame - Red, 52",Components,Road Frames,Red,18816.69,1411.05,17405.64,93,42,7.5
270,"LL Road Frame - Red, 60",Components,Road Frames,Red,56837.46,758.08,56079.38,309,157,1.33
271,"LL Road Frame - Red, 60",Components,Road Frames,Red,138596.05,10393.41,128202.64,685,217,7.5
272,"LL Road Frame - Red, 62",Components,Road Frames,Red,37891.64,505.35,37386.29,206,105,1.33
273,"LL Road Frame - Red, 62",Components,Road Frames,Red,98865.23,7345.36,91519.87,489,181,7.43
275,"ML Road Frame - Red, 48",Components,Road Frames,Red,89225.0,1190.0,88035.0,250,130,1.33
276,"ML Road Frame - Red, 52",Components,Road Frames,Red,32121.0,428.4,31692.6,90,44,1.33
279,"LL Road Frame - Black, 44",Components,Road Frames,Black,4643.08,61.88,4581.2,26,16,1.33
280,"LL Road Frame - Black, 44",Components,Road Frames,Black,23728.26,1779.83,21948.43,129,57,7.5
281,"LL Road Frame - Black, 44",Components,Road Frames,Black,16591.06,-188.28,16779.34,82,36,-1.13
285,"LL Road Frame - Black, 52",Components,Road Frames,Black,54109.74,721.14,53388.6,303,156,1.33
286,"LL Road Frame - Black, 52",Components,Road Frames,Black,126299.35,9411.15,116888.2,687,228,7.45
287,"LL Road Frame - Black, 52",Components,Road Frames,Black,110047.43,-1473.76,111521.19,545,199,-1.34
288,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,17342.16,2370.0,14972.16,24,15,13.67
289,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,119083.2,13337.05,105746.15,160,77,11.2
290,"HL Mountain Frame - Silver, 42",Components,Mountain Frames,Silver,121986.3,10653.5,111332.8,149,69,8.73
292,"HL Mountain Frame - Silver, 48",Components,Mountain Frames,Silver,141635.1,19356.97,122278.13,173,94,13.67
293,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,91768.93,12541.25,79227.68,127,71,13.67
294,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,195743.01,21922.7,173820.31,263,110,11.2
295,"HL Mountain Frame - Silver, 46",Components,Mountain Frames,Silver,183388.8,16016.0,167372.8,224,95,8.73
296,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,126501.9,17287.78,109214.12,177,98,13.67
297,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,379117.25,42463.41,336653.84,515,198,11.2
298,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,356294.4,31116.58,325177.82,440,162,8.73
299,"HL Mountain Frame - Black, 44",Components,Mountain Frames,Black,13765.92,1881.35,11884.57,17,13,13.67
300,"HL Mountain Frame - Black, 48",Components,Mountain Frames,Black,106078.56,14497.4,91581.16,131,76,13.67
304,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,92196.3,12599.59,79596.71,129,71,13.67
305,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,195815.9,21932.5,173883.4,266,113,11.2
306,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,187054.56,16336.25,170718.31,231,93,8.73
307,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,130788.79,17873.75,112915.04,181,102,13.67
308,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,387020.4,43345.18,343675.22,520,199,11.2
309,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,375483.11,32518.31,342964.8,459,167,8.66
310,"Road-150 Red, 62",Bikes,Road Bikes,Red,566797.44,-6424.02,573221.46,264,134,-1.13
311,"Road-150 Red, 44",Bikes,Road Bikes,Red,334925.76,-3796.0,338721.76,156,77,-1.13
312,"Road-150 Red, 48",Bikes,Road Bikes,Red,334925.76,-3796.03,338721.79,156,72,-1.13
313,"Road-150 Red, 52",Bikes,Road Bikes,Red,334925.76,-3796.03,338721.79,156,76,-1.13
314,"Road-150 Red, 56",Bikes,Road Bikes,Red,792228.24,-8979.06,801207.3,369,180,-1.13
315,"Road-450 Red, 58",Bikes,Road Bikes,Red,508398.78,-6501.52,514900.3,582,226,-1.28
316,"Road-450 Red, 60",Bikes,Road Bikes,Red,306176.5,-3471.51,309648.01,350,164,-1.13
317,"Road-450 Red, 44",Bikes,Road Bikes,Red,302677.34,-3431.89,306109.23,346,171,-1.13
318,"Road-450 Red, 48",Bikes,Road Bikes,Red,136467.24,-1547.32,138014.56,156,77,-1.13
319,"Road-450 Red, 52",Bikes,Road Bikes,Red,621100.9,-7042.09,628142.99,710,267,-1.13
320,"Road-650 Red, 58",Bikes,Road Bikes,Red,65855.22,991.15,64864.07,157,75,1.51
321,"Road-650 Red, 58",Bikes,Road Bikes,Red,181808.73,-6546.81,188355.54,387,133,-3.6
322,"Road-650 Red, 60",Bikes,Road Bikes,Red,295146.06,4290.79,290855.27,704,265,1.45
323,"Road-650 Red, 60",Bikes,Road Bikes,Red,679723.32,-32815.28,712538.6,1464,358,-4.83
324,"Road-650 Red, 62",Bikes,Road Bikes,Red,241189.5,3630.12,237559.38,575,225,1.51
325,"Road-650 Red, 62",Bikes,Road Bikes,Red,577442.31,-24127.19,601569.5,1236,333,-4.18
326,"Road-650 Red, 44",Bikes,Road Bikes,Red,295719.3,4450.9,291268.4,705,265,1.51
327,"Road-650 Red, 44",Bikes,Road Bikes,Red,612090.79,-101907.98,713998.77,1467,347,-16.65
328,"Road-650 Red, 48",Bikes,Road Bikes,Red,235317.06,3541.71,231775.35,561,221,1.51
329,"Road-650 Red, 48",Bikes,Road Bikes,Red,577528.43,-24527.68,602056.11,1237,338,-4.25
330,"Road-650 Red, 52",Bikes,Road Bikes,Red,135066.12,2032.82,133033.3,322,158,1.51
331,"Road-650 Red, 52",Bikes,Road Bikes,Red,342476.91,-12332.31,354809.22,729,221,-3.6
332,"Road-650 Black, 58",Bikes,Road Bikes,Black,234897.6,3535.49,231362.11,560,230,1.51
333,"Road-650 Black, 58",Bikes,Road Bikes,Black,574811.5,-23351.04,598162.54,1229,331,-4.06
334,"Road-650 Black, 60",Bikes,Road Bikes,Black,133807.74,2013.86,131793.88,319,161,1.51
335,"Road-650 Black, 60",Bikes,Road Bikes,Black,331029.69,-12098.55,343128.24,705,223,-3.65
336,"Road-650 Black, 62",Bikes,Road Bikes,Black,73405.5,1104.76,72300.74,175,89,1.51
337,"Road-650 Black, 62",Bikes,Road Bikes,Black,189795.16,-6834.33,196629.49,404,139,-3.6
338,"Road-650 Black, 44",Bikes,Road Bikes,Black,131710.44,1982.27,129728.17,314,158,1.51
339,"Road-650 Black, 44",Bikes,Road Bikes,Black,330074.45,-12080.4,342154.85,703,220,-3.66
340,"Road-650 Black, 48",Bikes,Road Bikes,Black,75502.8,1136.32,74366.48,180,94,1.51
341,"Road-650 Black, 48",Bikes,Road Bikes,Black,189325.37,-6817.4,196142.77,403,138,-3.6
342,"Road-650 Black, 52",Bikes,Road Bikes,Black,294377.16,3521.91,290855.25,704,263,1.2
343,"Road-650 Black, 52",Bikes,Road Bikes,Black,683700.88,-32731.37,716432.25,1472,348,-4.79
344,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,1114004.81,-2693.27,1116698.08,584,183,-0.24
345,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,Silver,1060013.02,6416.02,1053597.0,551,179,0.61
346,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,1066132.97,10623.86,1055509.11,552,184,1.0
347,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,Silver,909155.71,12355.43,896800.28,469,168,1.36
348,"Mountain-100 Black, 38",Bikes,Mountain Bikes,Black,1196701.87,-4791.79,1201493.66,633,185,-0.4
349,"Mountain-100 Black, 42",Bikes,Mountain Bikes,Black,1121034.71,3057.22,1117977.49,589,183,0.27
350,"Mountain-100 Black, 44",Bikes,Mountain Bikes,Black,1181379.4,8357.16,1173022.24,618,182,0.71
351,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1059913.77,-1120.95,1061034.72,559,186,-0.11
352,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1173084.63,116710.62,1056374.01,945,279,9.95
353,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1067006.71,93744.99,973261.72,769,197,8.79
354,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1176771.75,117044.3,1059727.45,948,273,9.95
355,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,931914.08,81417.48,850496.6,672,188,8.74
356,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1158087.57,115127.9,1042959.67,933,276,9.94
357,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,880851.26,78448.21,802403.05,634,177,8.91
358,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1471745.64,146985.26,1324760.38,1198,343,9.99
359,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1472920.24,125788.6,1347131.64,1076,296,8.54
360,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1362221.16,134772.06,1227449.1,1110,319,9.89
361,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1155133.92,99713.71,1055420.21,843,221,8.63
362,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,940823.82,93773.36,847050.46,766,225,9.97
363,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,904544.72,80741.19,823803.53,658,192,8.93
364,"Mountain-300 Black, 38",Bikes,Mountain Bikes,Black,442749.96,33419.81,409330.15,684,220,7.55
365,"Mountain-300 Black, 40",Bikes,Mountain Bikes,Black,502084.24,37698.03,464386.21,776,223,7.51
366,"Mountain-300 Black, 44",Bikes,Mountain Bikes,Black,484048.53,37016.87,447031.66,747,228,7.65
367,"Mountain-300 Black, 48",Bikes,Mountain Bikes,Black,479231.8,36389.2,442842.6,740,223,7.59
368,"Road-250 Red, 44",Bikes,Road Bikes,Red,1097968.08,-42640.6,1140608.68,751,220,-3.88
369,"Road-250 Red, 48",Bikes,Road Bikes,Red,947970.9,-34683.99,982654.89,647,214,-3.66
370,"Road-250 Red, 52",Bikes,Road Bikes,Red,741801.06,-26704.99,768506.05,506,181,-3.6
371,"Road-250 Red, 58",Bikes,Road Bikes,Red,448966.42,-4028.15,452994.57,343,112,-0.9
372,"Road-250 Red, 58",Bikes,Road Bikes,Red,401686.74,-24369.06,426055.8,274,99,-6.07
373,"Road-250 Black, 44",Bikes,Road Bikes,Black,976600.21,-11271.31,987871.52,748,217,-1.15
374,"Road-250 Black, 44",Bikes,Road Bikes,Black,856149.84,-51939.86,908089.7,584,202,-6.07
375,"Road-250 Black, 48",Bikes,Road Bikes,Black,842477.43,-8043.04,850520.47,644,210,-0.95
376,"Road-250 Black, 48",Bikes,Road Bikes,Black,744195.51,-45718.23,789913.74,508,187,-6.14
377,"Road-250 Black, 52",Bikes,Road Bikes,Black,662323.64,-5942.35,668265.99,506,179,-0.9
378,"Road-250 Black, 52",Bikes,Road Bikes,Black,564413.85,-34241.27,598655.12,385,153,-6.07
379,"Road-250 Black, 58",Bikes,Road Bikes,Black,448966.42,-4028.18,452994.6,343,107,-0.9
380,"Road-250 Black, 58",Bikes,Road Bikes,Black,400220.73,-24280.15,424500.88,273,102,-6.07
381,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,464141.01,-4631.84,468772.85,774,222,-1.0
382,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,431318.85,-26478.51,457797.36,642,212,-6.14
383,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,399172.9,-3584.22,402757.12,665,219,-0.9
384,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,354027.91,-21765.25,375793.16,527,186,-6.15
385,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,304331.82,-2732.67,307064.49,507,177,-0.9
386,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,272277.45,-16519.95,288797.4,405,151,-6.07
387,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,206489.44,-1854.08,208343.52,344,109,-0.9
388,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,187568.91,-11380.41,198949.32,279,92,-6.07
389,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,465441.58,-5753.8,471195.38,778,213,-1.24
390,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,449694.77,-28068.83,477763.6,670,227,-6.24
391,LL Fork,Components,Forks,Not Specified,16896.7,4392.8,12503.9,190,83,26.0
393,HL Fork,Components,Forks,Not Specified,61070.1,15829.38,45240.72,444,117,25.92
394,LL Headset,Components,Headsets,Not Specified,1949.4,506.94,1442.46,95,46,26.0
395,ML Headset,Components,Headsets,Not Specified,40100.8,10171.26,29929.54,659,110,25.36
396,HL Headset,Components,Headsets,Not Specified,19084.2,4962.3,14121.9,255,110,26.0
397,LL Mountain Handlebars,Components,Handlebars,Not Specified,10201.8,2650.96,7550.84,420,141,25.99
398,LL Mountain Handlebars,Components,Handlebars,Not Specified,11032.81,2825.76,8207.05,415,145,25.61
399,ML Mountain Handlebars,Components,Handlebars,Not Specified,25773.4,6678.51,19094.89,764,255,25.91
400,ML Mountain Handlebars,Components,Handlebars,Not Specified,23595.16,6109.64,17485.52,636,226,25.89
401,HL Mountain Handlebars,Components,Handlebars,Not Specified,17056.0,4433.97,12622.03,260,109,26.0
402,HL Mountain Handlebars,Components,Handlebars,Not Specified,15442.24,4014.64,11427.6,214,96,26.0
403,LL Road Handlebars,Components,Handlebars,Not Specified,2696.19,700.58,1995.61,111,45,25.98
404,LL Road Handlebars,Components,Handlebars,Not Specified,2725.44,708.21,2017.23,102,53,25.99
407,HL Road Handlebars,Components,Handlebars,Not Specified,21385.6,5559.5,15826.1,326,133,26.0
408,HL Road Handlebars,Components,Handlebars,Not Specified,20204.8,5252.8,14952.0,280,122,26.0
409,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,107559.64,12048.16,95511.48,514,226,11.2
410,LL Mountain Front Wheel,Components,Wheels,Black,22473.79,5833.24,16640.55,617,232,25.96
411,ML Mountain Front Wheel,Components,Wheels,Black,33361.72,8675.12,24686.6,266,114,26.0
412,HL Mountain Front Wheel,Components,Wheels,Black,39988.86,10397.06,29591.8,222,104,26.0
414,ML Road Front Wheel,Components,Wheels,Black,78985.9,20535.95,58449.95,530,194,26.0
415,HL Road Front Wheel,Components,Wheels,Black,112288.68,29196.65,83092.03,567,206,26.0
417,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,160927.2,12067.96,148859.24,496,184,7.5
418,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,133480.6,-1512.08,134992.68,374,157,-1.13
419,LL Mountain Rear Wheel,Components,Wheels,Black,18006.3,4682.1,13324.2,342,148,26.0
420,ML Mountain Rear Wheel,Components,Wheels,Black,119469.95,30707.99,88761.96,847,264,25.7
421,HL Mountain Rear Wheel,Components,Wheels,Black,166327.25,42836.38,123490.87,850,258,25.75
422,LL Road Rear Wheel,Components,Wheels,Black,58489.64,15207.42,43282.22,866,303,26.0
423,ML Road Rear Wheel,Components,Wheels,Black,10574.72,2749.44,7825.28,64,31,26.0
424,HL Road Rear Wheel,Components,Wheels,Black,19710.08,5125.0,14585.08,92,45,26.0
426,"ML Mountain Frame - Black, 40",Components,Mountain Frames,Black,14229.68,1593.92,12635.76,68,33,11.2
427,"ML Mountain Frame - Black, 44",Components,Mountain Frames,Black,129531.94,14509.46,115022.48,619,198,11.2
428,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,200191.88,22176.56,178015.32,958,255,11.08
429,"ML Road Frame-W - Yellow, 40",Components,Road Frames,Yellow,42827.4,3211.61,39615.79,132,57,7.5
430,"ML Road Frame-W - Yellow, 40",Components,Road Frames,Yellow,25339.9,-287.04,25626.94,71,31,-1.13
433,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,255201.62,19007.73,236193.89,787,263,7.45
434,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,212623.2,-2859.73,215482.93,597,209,-1.34
435,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,159953.85,11994.92,147958.93,493,185,7.5
436,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,127056.4,-1439.3,128495.7,356,148,-1.13
439,"HL Road Frame - Black, 44",Components,Road Frames,Black,192081.72,14406.51,177675.21,246,104,7.5
440,"HL Road Frame - Black, 44",Components,Road Frames,Black,164049.9,-1859.11,165909.01,191,89,-1.13
441,"HL Road Frame - Black, 48",Components,Road Frames,Black,37479.36,2811.01,34668.35,48,21,7.5
442,"HL Road Frame - Black, 48",Components,Road Frames,Black,52392.9,-593.75,52986.65,61,26,-1.13
445,"Men's Sports Shorts, S",Clothing,Shorts,Black,20378.73,6347.75,14030.98,567,160,31.15
447,Cable Lock,Accessories,Locks,Not Specified,16249.0,5049.29,11199.71,1086,259,31.07
448,Minipump,Accessories,Pumps,Not Specified,13524.3,4206.34,9317.96,1130,267,31.1
453,"Men's Sports Shorts, M",Clothing,Shorts,Black,45634.06,14107.63,31526.43,1274,282,30.91
454,"Men's Sports Shorts, L",Clothing,Shorts,Black,16015.55,5003.57,11011.98,445,131,31.24
456,"Women's Tights, S",Clothing,Tights,Black,91238.22,27639.27,63598.95,2056,418,30.29
457,"Women's Tights, M",Clothing,Tights,Black,17726.06,5538.35,12187.71,394,114,31.24
458,"Women's Tights, L",Clothing,Tights,Black,94076.88,28745.65,65331.23,2112,437,30.56
459,"Men's Bib-Shorts, S",Clothing,Bib-Shorts,Multi,47014.48,14645.39,32369.09,872,229,31.15
460,"Men's Bib-Shorts, M",Clothing,Bib-Shorts,Multi,85981.64,26365.89,59615.75,1606,349,30.66
461,"Men's Bib-Shorts, L",Clothing,Bib-Shorts,Multi,34175.67,10678.45,23497.22,633,178,31.25
462,"Half-Finger Gloves, S",Clothing,Gloves,Black,7341.96,2290.97,5050.99,520,148,31.2
463,"Half-Finger Gloves, S",Clothing,Gloves,Black,16306.65,6084.41,10222.24,1116,228,37.31
464,"Half-Finger Gloves, M",Clothing,Gloves,Black,14904.98,4618.41,10286.57,1059,257,30.99
465,"Half-Finger Gloves, M",Clothing,Gloves,Black,25380.67,9342.22,16038.45,1751,302,36.81
466,"Half-Finger Gloves, L",Clothing,Gloves,Black,4210.74,1316.19,2894.55,298,97,31.26
467,"Half-Finger Gloves, L",Clothing,Gloves,Black,7236.78,2721.0,4515.78,493,121,37.6
468,"Full-Finger Gloves, S",Clothing,Gloves,Black,11235.47,3510.13,7725.34,493,236,31.24
469,"Full-Finger Gloves, M",Clothing,Gloves,Black,48719.67,14290.9,34428.77,2197,355,29.33
470,"Full-Finger Gloves, L",Clothing,Gloves,Black,72035.93,19303.31,52732.62,3365,361,26.8
471,"Classic Vest, S",Clothing,Vests,Blue,135091.34,47314.49,87776.85,3696,466,35.02
472,"Classic Vest, M",Clothing,Vests,Blue,71700.84,26316.03,45384.81,1911,326,36.7
473,"Classic Vest, L",Clothing,Vests,Blue,457.2,172.2,285.0,12,6,37.66
474,"Women's Mountain Shorts, S",Clothing,Shorts,Black,108582.71,37147.46,71435.25,2729,310,34.21
475,"Women's Mountain Shorts, M",Clothing,Shorts,Black,30190.81,11369.81,18821.0,719,300,37.66
476,"Women's Mountain Shorts, L",Clothing,Shorts,Black,104495.23,35520.55,68974.68,2635,310,33.99
477,Water Bottle - 30 oz.,Accessories,Bottles and Cages,Not Specified,6885.93,2503.58,4382.35,2348,402,36.36
480,Patch Kit/8 Patches,Accessories,Tires and Tubes,Not Specified,831.11,311.06,520.05,607,151,37.43
481,"Racing Socks, M",Clothing,Socks,White,6223.26,2330.04,3893.22,1158,273,37.44
482,"Racing Socks, L",Clothing,Socks,White,10446.69,3735.6,6711.09,1996,303,35.76
483,Hitch Rack - 4-Bike,Accessories,Bike Racks,Not Specified,182007.6,65992.8,116014.8,2585,418,36.26
484,Bike Wash - Dissolver,Accessories,Cleaners,Not Specified,10179.94,3718.95,6460.99,2173,378,36.53
487,Hydration Pack - 70 oz.,Accessories,Hydration Packs,Silver,59218.45,21787.5,37430.95,1820,311,36.79
488,"Short-Sleeve Classic Jersey, S",Clothing,Jerseys,Yellow,45660.09,-13330.84,58990.93,1419,285,-29.2
490,"Short-Sleeve Classic Jersey, L",Clothing,Jerseys,Yellow,70772.91,-21392.66,92165.57,2217,393,-30.23
491,"Short-Sleeve Classic Jersey, XL",Clothing,Jerseys,Yellow,99384.28,-31942.46,131326.74,3159,447,-32.14
492,"HL Touring Frame - Yellow, 60",Components,Touring Frames,Yellow,201325.41,-258.66,201584.07,335,114,-0.13
493,"LL Touring Frame - Yellow, 62",Components,Touring Frames,Yellow,62098.87,-254.84,62353.71,312,110,-0.41
494,"HL Touring Frame - Yellow, 46",Components,Touring Frames,Yellow,49392.7,49.78,49342.92,82,37,0.1
495,"HL Touring Frame - Yellow, 50",Components,Touring Frames,Yellow,48790.35,49.17,48741.18,81,38,0.1
496,"HL Touring Frame - Yellow, 54",Components,Touring Frames,Yellow,286055.91,-975.69,287031.6,477,138,-0.34
497,"HL Touring Frame - Blue, 46",Components,Touring Frames,Blue,61439.7,61.92,61377.78,102,51,0.1
498,"HL Touring Frame - Blue, 50",Components,Touring Frames,Blue,64451.45,64.96,64386.49,107,49,0.1
499,"HL Touring Frame - Blue, 54",Components,Touring Frames,Blue,285343.12,-1086.73,286429.85,476,148,-0.38
500,"HL Touring Frame - Blue, 60",Components,Touring Frames,Blue,192832.22,-929.15,193761.37,322,118,-0.48
501,Rear Derailleur,Components,Derailleurs,Silver,22009.76,5723.36,16286.4,302,123,26.0
502,"LL Touring Frame - Blue, 50",Components,Touring Frames,Blue,58414.6,57.93,58356.67,292,113,0.1
503,"LL Touring Frame - Blue, 54",Components,Touring Frames,Blue,39209.8,38.91,39170.89,196,90,0.1
504,"LL Touring Frame - Blue, 58",Components,Touring Frames,Blue,800.2,0.79,799.41,4,2,0.1
505,"LL Touring Frame - Blue, 62",Components,Touring Frames,Blue,3000.75,2.98,2997.77,15,9,0.1
506,"LL Touring Frame - Yellow, 44",Components,Touring Frames,Yellow,55340.48,-18.35,55358.83,277,109,-0.03
507,"LL Touring Frame - Yellow, 50",Components,Touring Frames,Yellow,42610.65,42.28,42568.37,213,100,0.1
509,"LL Touring Frame - Yellow, 58",Components,Touring Frames,Yellow,7201.8,7.16,7194.64,36,20,0.1
510,"LL Touring Frame - Blue, 44",Components,Touring Frames,Blue,5001.25,4.97,4996.28,25,14,0.1
511,"ML Mountain Frame-W - Silver, 40",Components,Mountain Frames,Silver,178335.38,15246.02,163089.36,818,231,8.55
512,"ML Mountain Frame-W - Silver, 42",Components,Mountain Frames,Silver,124079.6,10834.02,113245.58,568,207,8.73
513,"ML Mountain Frame-W - Silver, 46",Components,Mountain Frames,Silver,39976.35,3490.48,36485.87,183,84,8.73
514,Rear Brakes,Components,Brakes,Silver,14249.7,3704.85,10544.85,223,99,26.0
