SalesOrderNumber,OrderDate,ProductKey,ResellerKey,EmployeeKey,SalesTerritoryKey,Quantity,Unit Price,Sales,Cost,Year,Quarter,Month,MonthName,DayOfWeek,WeekOfYear,Profit,ProfitMargin,RevenuePerUnit,Product,Category,Subcategory,Color,Standard Cost,Region,Country,Group,Business Type,Reseller,City,State-Province,Country-Region,Salesperson,Title
SO46082,2018-05-23,345,312,282,4,2,2039.99,4079.98,3824.31,2018,2,5,May,Wednesday,21,255.67000000000007,6.266452286530819,2039.99,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO46082,2018-05-23,232,312,282,4,2,28.84,57.68,63.45,2018,2,5,May,Wednesday,21,-5.770000000000003,-10.003467406380032,28.84,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,31.72,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO46082,2018-05-23,344,312,282,4,2,2039.99,4079.98,3824.31,2018,2,5,May,Wednesday,21,255.67000000000007,6.266452286530819,2039.99,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,1912.15,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO46082,2018-05-23,348,312,282,4,2,2024.99,4049.98,3796.19,2018,2,5,May,Wednesday,21,253.78999999999996,6.266450698521966,2024.99,"Mountain-100 Black, 38",Bikes,Mountain Bikes,Black,1898.09,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO46082,2018-05-23,212,312,282,4,2,20.19,40.38,24.06,2018,2,5,May,Wednesday,21,16.320000000000004,40.41604754829124,20.19,"Sport-100 Helmet, Red",Accessories,Helmets,Red,12.03,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,410,312,282,4,2,36.45,72.9,53.94,2018,3,8,August,Friday,34,18.960000000000008,26.00823045267491,36.45,LL Mountain Front Wheel,Components,Wheels,Black,26.97,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,464,312,282,4,2,14.13,28.26,19.43,2018,3,8,August,Friday,34,8.830000000000002,31.245576786978063,14.13,"Half-Finger Gloves, M",Clothing,Gloves,Black,9.71,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,412,312,282,4,2,180.13,360.26,266.59,2018,3,8,August,Friday,34,93.67000000000002,26.00066618553268,180.13,HL Mountain Front Wheel,Components,Wheels,Black,133.3,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,420,312,282,4,2,141.62,283.24,209.59,2018,3,8,August,Friday,34,73.65,26.002683236830958,141.62,ML Mountain Rear Wheel,Components,Wheels,Black,104.8,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,468,312,282,4,2,22.79,45.58,31.34,2018,3,8,August,Friday,34,14.239999999999998,31.241772707327776,22.79,"Full-Finger Gloves, S",Clothing,Gloves,Black,15.67,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,360,312,282,4,2,1229.46,2458.92,2211.62,2018,3,8,August,Friday,34,247.30000000000018,10.057260911294396,1229.46,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,409,312,282,4,2,209.26,418.52,371.64,2018,3,8,August,Friday,34,46.879999999999995,11.201376278314058,209.26,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,308,312,282,4,2,744.27,1488.54,1321.83,2018,3,8,August,Friday,34,166.71000000000004,11.199564674110205,744.27,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,660.91,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO47028,2018-08-24,428,312,282,4,2,209.26,418.52,371.64,2018,3,8,August,Friday,34,46.879999999999995,11.201376278314058,209.26,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,185.82,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,401,312,282,4,2,65.6,131.2,97.09,2018,4,11,November,Monday,47,34.109999999999985,25.99847560975609,65.6,HL Mountain Handlebars,Components,Handlebars,Not Specified,48.55,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,224,312,282,4,2,5.19,10.38,10.46,2018,4,11,November,Monday,47,-0.08000000000000007,-0.7707129094412337,5.19,AWC Logo Cap,Clothing,Caps,Multi,5.23,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,412,312,282,4,2,180.13,360.26,266.59,2018,4,11,November,Monday,47,93.67000000000002,26.00066618553268,180.13,HL Mountain Front Wheel,Components,Wheels,Black,133.3,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,458,312,282,4,2,44.99,89.98,61.87,2018,4,11,November,Monday,47,28.110000000000007,31.240275616803743,44.99,"Women's Tights, L",Clothing,Tights,Black,30.93,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,411,312,282,4,2,125.42,250.84,185.61,2018,4,11,November,Monday,47,65.22999999999999,26.00462446180832,125.42,ML Mountain Front Wheel,Components,Wheels,Black,92.81,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,297,312,282,4,2,736.15,1472.3,1307.39,2018,4,11,November,Monday,47,164.90999999999985,11.20084221965631,736.15,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,653.7,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,409,312,282,4,2,209.26,418.52,371.64,2018,4,11,November,Monday,47,46.879999999999995,11.201376278314058,209.26,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,221,312,282,4,2,20.19,40.38,27.76,2018,4,11,November,Monday,47,12.620000000000001,31.253095591877166,20.19,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.88,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO48049,2018-11-19,427,312,282,4,2,209.26,418.52,371.64,2018,4,11,November,Monday,47,46.879999999999995,11.201376278314058,209.26,"ML Mountain Frame - Black, 44",Components,Mountain Frames,Black,185.82,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO49132,2019-02-20,399,312,282,4,2,33.77,67.54,49.99,2019,1,2,February,Wednesday,8,17.550000000000004,25.984601717500745,33.77,ML Mountain Handlebars,Components,Handlebars,Not Specified,24.99,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO49132,2019-02-20,358,312,282,4,2,1229.46,2458.92,2211.62,2019,1,2,February,Wednesday,8,247.30000000000018,10.057260911294396,1229.46,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO49132,2019-02-20,354,312,282,4,2,1242.85,2485.7,2235.71,2019,1,2,February,Wednesday,8,249.98999999999978,10.057126765096342,1242.85,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1117.86,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO49132,2019-02-20,420,312,282,4,2,141.62,283.24,209.59,2019,1,2,February,Wednesday,8,73.65,26.002683236830958,141.62,ML Mountain Rear Wheel,Components,Wheels,Black,104.8,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO49132,2019-02-20,362,312,282,4,2,1229.46,2458.92,2211.62,2019,1,2,February,Wednesday,8,247.30000000000018,10.057260911294396,1229.46,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1105.81,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO49132,2019-02-20,421,312,282,4,2,196.33,392.66,290.57,2019,1,2,February,Wednesday,8,102.09000000000003,25.999592522793264,196.33,HL Mountain Rear Wheel,Components,Wheels,Black,145.28,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,356,312,282,4,2,1242.85,2485.7,2235.71,2019,2,5,May,Saturday,21,249.98999999999978,10.057126765096342,1242.85,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1117.86,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,411,312,282,4,2,125.42,250.84,185.61,2019,2,5,May,Saturday,21,65.22999999999999,26.00462446180832,125.42,ML Mountain Front Wheel,Components,Wheels,Black,92.81,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,224,312,282,4,2,5.19,10.38,10.46,2019,2,5,May,Saturday,21,-0.08000000000000007,-0.7707129094412337,5.19,AWC Logo Cap,Clothing,Caps,Multi,5.23,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,213,312,282,4,2,20.19,40.38,27.76,2019,2,5,May,Saturday,21,12.620000000000001,31.253095591877166,20.19,"Sport-100 Helmet, Red",Accessories,Helmets,Red,13.88,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,297,312,282,4,2,736.15,1472.3,1307.39,2019,2,5,May,Saturday,21,164.90999999999985,11.20084221965631,736.15,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,653.7,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,419,312,282,4,2,52.65,105.3,77.92,2019,2,5,May,Saturday,21,27.379999999999995,26.001899335232665,52.65,LL Mountain Rear Wheel,Components,Wheels,Black,38.96,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,428,312,282,4,2,209.26,418.52,371.64,2019,2,5,May,Saturday,21,46.879999999999995,11.201376278314058,209.26,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,185.82,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,236,312,282,4,2,28.84,57.68,58.16,2019,2,5,May,Saturday,21,-0.4799999999999969,-0.832177531206652,28.84,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,Multi,29.08,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,360,312,282,4,2,1229.46,2458.92,2211.62,2019,2,5,May,Saturday,21,247.30000000000018,10.057260911294396,1229.46,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,366,312,282,4,2,647.99,1295.98,1196.87,2019,2,5,May,Saturday,21,99.11000000000013,7.647494560101246,647.99,"Mountain-300 Black, 44",Bikes,Mountain Bikes,Black,598.44,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,401,312,282,4,2,65.6,131.2,97.09,2019,2,5,May,Saturday,21,34.109999999999985,25.99847560975609,65.6,HL Mountain Handlebars,Components,Handlebars,Not Specified,48.55,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,421,312,282,4,2,196.33,392.66,290.57,2019,2,5,May,Saturday,21,102.09000000000003,25.999592522793264,196.33,HL Mountain Rear Wheel,Components,Wheels,Black,145.28,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,448,312,282,4,2,11.99,23.98,16.49,2019,2,5,May,Saturday,21,7.490000000000002,31.234361968306928,11.99,Minipump,Accessories,Pumps,Not Specified,8.25,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,308,312,282,4,2,744.27,1488.54,1321.83,2019,2,5,May,Saturday,21,166.71000000000004,11.199564674110205,744.27,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,660.91,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,233,312,282,4,2,28.84,57.68,58.16,2019,2,5,May,Saturday,21,-0.4799999999999969,-0.832177531206652,28.84,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,Multi,29.08,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO50294,2019-05-25,399,312,282,4,2,33.77,67.54,49.99,2019,2,5,May,Saturday,21,17.550000000000004,25.984601717500745,33.77,ML Mountain Handlebars,Components,Handlebars,Not Specified,24.99,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO51845,2019-08-27,591,312,282,4,2,338.99,677.98,616.44,2019,3,8,August,Tuesday,35,61.539999999999964,9.076963922239587,338.99,"Mountain-500 Silver, 40",Bikes,Mountain Bikes,Silver,308.22,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO51845,2019-08-27,525,312,282,4,2,158.43,316.86,289.19,2019,3,8,August,Tuesday,35,27.670000000000016,8.732563277157109,158.43,"LL Mountain Frame - Silver, 44",Components,Mountain Frames,Silver,144.59,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO51845,2019-08-27,588,312,282,4,2,461.69,923.38,839.56,2019,3,8,August,Tuesday,35,83.82000000000005,9.077519547748494,461.69,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,Silver,419.78,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO51845,2019-08-27,363,312,282,4,2,1376.99,2753.98,2503.96,2019,3,8,August,Tuesday,35,250.01999999999998,9.078497302086435,1376.99,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1251.98,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO51845,2019-08-27,309,312,282,4,2,818.7,1637.4,1494.4,2019,3,8,August,Tuesday,35,143.0,8.733357762306095,818.7,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,747.2,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO51845,2019-08-27,531,312,282,4,2,149.87,299.74,273.57,2019,3,8,August,Tuesday,35,26.170000000000016,8.730900113431646,149.87,"LL Mountain Frame - Black, 42",Components,Mountain Frames,Black,136.79,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO51845,2019-08-27,513,312,282,4,2,218.45,436.9,398.75,2019,3,8,August,Tuesday,35,38.14999999999998,8.731975280384523,218.45,"ML Mountain Frame-W - Silver, 46",Components,Mountain Frames,Silver,199.38,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO51845,2019-08-27,542,312,282,4,2,24.29,48.58,35.96,2019,3,8,August,Tuesday,35,12.619999999999997,25.977768629065455,24.29,LL Mountain Pedal,Components,Pedals,Silver/Black,17.98,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,598,312,282,4,2,323.99,647.98,589.16,2019,4,11,November,Friday,47,58.82000000000005,9.077440661748827,323.99,"Mountain-500 Black, 44",Bikes,Mountain Bikes,Black,294.58,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,359,312,282,4,2,1376.99,2753.98,2503.96,2019,4,11,November,Friday,47,250.01999999999998,9.078497302086435,1376.99,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1251.98,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,361,312,282,4,2,1376.99,2753.98,2503.96,2019,4,11,November,Friday,47,250.01999999999998,9.078497302086435,1376.99,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1251.98,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,400,312,282,4,2,37.15,74.3,54.99,2019,4,11,November,Friday,47,19.309999999999995,25.98923283983849,37.15,ML Mountain Handlebars,Components,Handlebars,Not Specified,27.49,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,542,312,282,4,2,24.29,48.58,35.96,2019,4,11,November,Friday,47,12.619999999999997,25.977768629065455,24.29,LL Mountain Pedal,Components,Pedals,Silver/Black,17.98,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,588,312,282,4,2,461.69,923.38,839.56,2019,4,11,November,Friday,47,83.82000000000005,9.077519547748494,461.69,"Mountain-400-W Silver, 40",Bikes,Mountain Bikes,Silver,419.78,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,594,312,282,4,2,338.99,677.98,616.44,2019,4,11,November,Friday,47,61.539999999999964,9.076963922239587,338.99,"Mountain-500 Silver, 48",Bikes,Mountain Bikes,Silver,308.22,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,511,312,282,4,2,218.45,436.9,398.75,2019,4,11,November,Friday,47,38.14999999999998,8.731975280384523,218.45,"ML Mountain Frame-W - Silver, 40",Components,Mountain Frames,Silver,199.38,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO57144,2019-11-22,477,312,282,4,2,2.99,5.98,3.73,2019,4,11,November,Friday,47,2.2500000000000004,37.62541806020067,2.99,Water Bottle - 30 oz.,Accessories,Bottles and Cages,Not Specified,1.87,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO63283,2020-02-27,483,312,282,4,2,72.0,144.0,89.76,2020,1,2,February,Thursday,9,54.239999999999995,37.666666666666664,72.0,Hitch Rack - 4-Bike,Accessories,Bike Racks,Not Specified,44.88,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO63283,2020-02-27,363,312,282,4,2,1376.99,2753.98,2503.96,2020,1,2,February,Thursday,9,250.01999999999998,9.078497302086435,1376.99,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1251.98,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO63283,2020-02-27,598,312,282,4,2,323.99,647.98,589.16,2020,1,2,February,Thursday,9,58.82000000000005,9.077440661748827,323.99,"Mountain-500 Black, 44",Bikes,Mountain Bikes,Black,294.58,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO63283,2020-02-27,359,312,282,4,2,1376.99,2753.98,2503.96,2020,1,2,February,Thursday,9,250.01999999999998,9.078497302086435,1376.99,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1251.98,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO63283,2020-02-27,491,312,282,4,2,32.39,64.78,83.14,2020,1,2,February,Thursday,9,-18.36,-28.342080889163316,32.39,"Short-Sleeve Classic Jersey, XL",Clothing,Jerseys,Yellow,41.57,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO63283,2020-02-27,471,312,282,4,2,38.1,76.2,47.5,2020,1,2,February,Thursday,9,28.700000000000003,37.664041994750654,38.1,"Classic Vest, S",Clothing,Vests,Blue,23.75,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO63283,2020-02-27,353,312,282,4,2,1391.99,2783.98,2531.24,2020,1,2,February,Thursday,9,252.74000000000024,9.078369815875122,1391.99,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1265.62,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO69532,2020-05-27,402,312,282,4,2,72.16,144.32,106.8,2020,2,5,May,Wednesday,22,37.519999999999996,25.997782705099777,72.16,HL Mountain Handlebars,Components,Handlebars,Not Specified,53.4,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO69532,2020-05-27,222,312,282,4,2,20.99,41.98,26.17,2020,2,5,May,Wednesday,22,15.809999999999995,37.66079085278704,20.99,"Sport-100 Helmet, Blue",Accessories,Helmets,Blue,13.09,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO69532,2020-05-27,231,312,282,4,2,29.99,59.98,76.98,2020,2,5,May,Wednesday,22,-17.000000000000007,-28.34278092697567,29.99,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,Multi,38.49,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
SO69532,2020-05-27,542,312,282,4,2,24.29,48.58,35.96,2020,2,5,May,Wednesday,22,12.619999999999997,25.977768629065455,24.29,LL Mountain Pedal,Components,Pedals,Silver/Black,17.98,Southwest,United States,North America,Value Added Reseller,Resale Services,Culver City,California,United States,Linda Mitchell,Sales Representative
