productkey,product,category,subcategory,color,standardcost,totalorders,totalquantity,totalrevenue,totalcost,totalprofit,profitmarginpct
297,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,653.70,198,515,379117.25,336655.50,42461.75,11.20
298,"HL Mountain Frame - Black, 42",Components,Mountain Frames,Black,739.04,162,440,356294.40,325177.60,31116.80,8.73
299,"HL Mountain Frame - Black, 44",Components,Mountain Frames,Black,699.09,13,17,13765.92,11884.53,1881.39,13.67
300,"HL Mountain Frame - Black, 48",Components,Mountain Frames,Black,699.09,76,131,106078.56,91580.79,14497.77,13.67
304,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,617.03,71,129,92196.30,79596.87,12599.43,13.67
305,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,653.70,113,266,195815.90,173884.20,21931.70,11.20
306,"HL Mountain Frame - Black, 38",Components,Mountain Frames,Black,739.04,93,231,187054.56,170718.24,16336.32,8.73
307,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,623.84,102,181,130788.79,112915.04,17873.75,13.67
308,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,660.91,199,520,387020.40,343673.20,43347.20,11.20
309,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,Silver,747.20,167,459,375483.11,342964.80,32518.31,8.66
310,"Road-150 Red, 62",Bikes,Road Bikes,Red,2171.29,134,264,566797.44,573220.56,-6423.12,-1.13
311,"Road-150 Red, 44",Bikes,Road Bikes,Red,2171.29,77,156,334925.76,338721.24,-3795.48,-1.13
312,"Road-150 Red, 48",Bikes,Road Bikes,Red,2171.29,72,156,334925.76,338721.24,-3795.48,-1.13
313,"Road-150 Red, 52",Bikes,Road Bikes,Red,2171.29,76,156,334925.76,338721.24,-3795.48,-1.13
314,"Road-150 Red, 56",Bikes,Road Bikes,Red,2171.29,180,369,792228.24,801206.01,-8977.77,-1.13
315,"Road-450 Red, 58",Bikes,Road Bikes,Red,884.71,226,582,508398.78,514901.22,-6502.44,-1.28
316,"Road-450 Red, 60",Bikes,Road Bikes,Red,884.71,164,350,306176.50,309648.50,-3472.00,-1.13
317,"Road-450 Red, 44",Bikes,Road Bikes,Red,884.71,171,346,302677.34,306109.66,-3432.32,-1.13
318,"Road-450 Red, 48",Bikes,Road Bikes,Red,884.71,77,156,136467.24,138014.76,-1547.52,-1.13
319,"Road-450 Red, 52",Bikes,Road Bikes,Red,884.71,267,710,621100.90,628144.10,-7043.20,-1.13
320,"Road-650 Red, 58",Bikes,Road Bikes,Red,413.15,75,157,65855.22,64864.55,990.67,1.50
321,"Road-650 Red, 58",Bikes,Road Bikes,Red,486.71,133,387,181808.73,188356.77,-6548.04,-3.60
322,"Road-650 Red, 60",Bikes,Road Bikes,Red,413.15,265,704,295146.06,290857.60,4288.46,1.45
323,"Road-650 Red, 60",Bikes,Road Bikes,Red,486.71,358,1464,679723.32,712543.44,-32820.12,-4.83
324,"Road-650 Red, 62",Bikes,Road Bikes,Red,413.15,225,575,241189.50,237561.25,3628.25,1.50
325,"Road-650 Red, 62",Bikes,Road Bikes,Red,486.71,333,1236,577442.31,601573.56,-24131.25,-4.18
326,"Road-650 Red, 44",Bikes,Road Bikes,Red,413.15,265,705,295719.30,291270.75,4448.55,1.50
327,"Road-650 Red, 44",Bikes,Road Bikes,Red,486.71,347,1467,612090.79,714003.57,-101912.78,-16.65
328,"Road-650 Red, 48",Bikes,Road Bikes,Red,413.15,221,561,235317.06,231777.15,3539.91,1.50
329,"Road-650 Red, 48",Bikes,Road Bikes,Red,486.71,338,1237,577528.43,602060.27,-24531.84,-4.25
330,"Road-650 Red, 52",Bikes,Road Bikes,Red,413.15,158,322,135066.12,133034.30,2031.82,1.50
331,"Road-650 Red, 52",Bikes,Road Bikes,Red,486.71,221,729,342476.91,354811.59,-12334.68,-3.60
332,"Road-650 Black, 58",Bikes,Road Bikes,Black,413.15,230,560,234897.60,231364.00,3533.60,1.50
333,"Road-650 Black, 58",Bikes,Road Bikes,Black,486.71,331,1229,574811.50,598166.59,-23355.09,-4.06
334,"Road-650 Black, 60",Bikes,Road Bikes,Black,413.15,161,319,133807.74,131794.85,2012.89,1.50
335,"Road-650 Black, 60",Bikes,Road Bikes,Black,486.71,223,705,331029.69,343130.55,-12100.86,-3.66
336,"Road-650 Black, 62",Bikes,Road Bikes,Black,413.15,89,175,73405.50,72301.25,1104.25,1.50
337,"Road-650 Black, 62",Bikes,Road Bikes,Black,486.71,139,404,189795.16,196630.84,-6835.68,-3.60
338,"Road-650 Black, 44",Bikes,Road Bikes,Black,413.15,158,314,131710.44,129729.10,1981.34,1.50
339,"Road-650 Black, 44",Bikes,Road Bikes,Black,486.71,220,703,330074.45,342157.13,-12082.68,-3.66
340,"Road-650 Black, 48",Bikes,Road Bikes,Black,413.15,94,180,75502.80,74367.00,1135.80,1.50
341,"Road-650 Black, 48",Bikes,Road Bikes,Black,486.71,138,403,189325.37,196144.13,-6818.76,-3.60
342,"Road-650 Black, 52",Bikes,Road Bikes,Black,413.15,263,704,294377.16,290857.60,3519.56,1.20
343,"Road-650 Black, 52",Bikes,Road Bikes,Black,486.71,348,1472,683700.88,716437.12,-32736.24,-4.79
344,"Mountain-100 Silver, 38",Bikes,Mountain Bikes,Silver,1912.15,183,584,1114004.81,1116695.60,-2690.79,-0.24
345,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,Silver,1912.15,179,551,1060013.02,1053594.65,6418.37,0.61
346,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,Silver,1912.15,184,552,1066132.97,1055506.80,10626.17,1.00
347,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,Silver,1912.15,168,469,909155.71,896798.35,12357.36,1.36
348,"Mountain-100 Black, 38",Bikes,Mountain Bikes,Black,1898.09,185,633,1196701.87,1201490.97,-4789.10,-0.40
349,"Mountain-100 Black, 42",Bikes,Mountain Bikes,Black,1898.09,183,589,1121034.71,1117975.01,3059.70,0.27
350,"Mountain-100 Black, 44",Bikes,Mountain Bikes,Black,1898.09,182,618,1181379.40,1173019.62,8359.78,0.71
351,"Mountain-100 Black, 48",Bikes,Mountain Bikes,Black,1898.09,186,559,1059913.77,1061032.31,-1118.54,-0.11
352,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1117.86,279,945,1173084.63,1056377.70,116706.93,9.95
353,"Mountain-200 Silver, 38",Bikes,Mountain Bikes,Silver,1265.62,197,769,1067006.71,973261.78,93744.93,8.79
354,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1117.86,273,948,1176771.75,1059731.28,117040.47,9.95
355,"Mountain-200 Silver, 42",Bikes,Mountain Bikes,Silver,1265.62,188,672,931914.08,850496.64,81417.44,8.74
356,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1117.86,276,933,1158087.57,1042963.38,115124.19,9.94
357,"Mountain-200 Silver, 46",Bikes,Mountain Bikes,Silver,1265.62,177,634,880851.26,802403.08,78448.18,8.91
358,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1105.81,343,1198,1471745.64,1324760.38,146985.26,9.99
359,"Mountain-200 Black, 38",Bikes,Mountain Bikes,Black,1251.98,296,1076,1472920.24,1347130.48,125789.76,8.54
360,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1105.81,319,1110,1362221.16,1227449.10,134772.06,9.89
361,"Mountain-200 Black, 42",Bikes,Mountain Bikes,Black,1251.98,221,843,1155133.92,1055419.14,99714.78,8.63
362,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1105.81,225,766,940823.82,847050.46,93773.36,9.97
363,"Mountain-200 Black, 46",Bikes,Mountain Bikes,Black,1251.98,192,658,904544.72,823802.84,80741.88,8.93
364,"Mountain-300 Black, 38",Bikes,Mountain Bikes,Black,598.44,220,684,442749.96,409332.96,33417.00,7.55
365,"Mountain-300 Black, 40",Bikes,Mountain Bikes,Black,598.44,223,776,502084.24,464389.44,37694.80,7.51
366,"Mountain-300 Black, 44",Bikes,Mountain Bikes,Black,598.44,228,747,484048.53,447034.68,37013.85,7.65
367,"Mountain-300 Black, 48",Bikes,Mountain Bikes,Black,598.44,223,740,479231.80,442845.60,36386.20,7.59
368,"Road-250 Red, 44",Bikes,Road Bikes,Red,1518.79,220,751,1097968.08,1140611.29,-42643.21,-3.88
369,"Road-250 Red, 48",Bikes,Road Bikes,Red,1518.79,214,647,947970.90,982657.13,-34686.23,-3.66
370,"Road-250 Red, 52",Bikes,Road Bikes,Red,1518.79,181,506,741801.06,768507.74,-26706.68,-3.60
371,"Road-250 Red, 58",Bikes,Road Bikes,Red,1320.68,112,343,448966.42,452993.24,-4026.82,-0.90
372,"Road-250 Red, 58",Bikes,Road Bikes,Red,1554.95,99,274,401686.74,426056.30,-24369.56,-6.07
373,"Road-250 Black, 44",Bikes,Road Bikes,Black,1320.68,217,748,976600.21,987868.64,-11268.43,-1.15
374,"Road-250 Black, 44",Bikes,Road Bikes,Black,1554.95,202,584,856149.84,908090.80,-51940.96,-6.07
375,"Road-250 Black, 48",Bikes,Road Bikes,Black,1320.68,210,644,842477.43,850517.92,-8040.49,-0.95
376,"Road-250 Black, 48",Bikes,Road Bikes,Black,1554.95,187,508,744195.51,789914.60,-45719.09,-6.14
377,"Road-250 Black, 52",Bikes,Road Bikes,Black,1320.68,179,506,662323.64,668264.08,-5940.44,-0.90
378,"Road-250 Black, 52",Bikes,Road Bikes,Black,1554.95,153,385,564413.85,598655.75,-34241.90,-6.07
379,"Road-250 Black, 58",Bikes,Road Bikes,Black,1320.68,107,343,448966.42,452993.24,-4026.82,-0.90
380,"Road-250 Black, 58",Bikes,Road Bikes,Black,1554.95,102,273,400220.73,424501.35,-24280.62,-6.07
381,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,605.65,222,774,464141.01,468773.10,-4632.09,-1.00
382,"Road-550-W Yellow, 38",Bikes,Road Bikes,Yellow,713.08,212,642,431318.85,457797.36,-26478.51,-6.14
383,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,605.65,219,665,399172.90,402757.25,-3584.35,-0.90
384,"Road-550-W Yellow, 40",Bikes,Road Bikes,Yellow,713.08,186,527,354027.91,375793.16,-21765.25,-6.15
385,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,605.65,177,507,304331.82,307064.55,-2732.73,-0.90
386,"Road-550-W Yellow, 42",Bikes,Road Bikes,Yellow,713.08,151,405,272277.45,288797.40,-16519.95,-6.07
387,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,605.65,109,344,206489.44,208343.60,-1854.16,-0.90
388,"Road-550-W Yellow, 44",Bikes,Road Bikes,Yellow,713.08,92,279,187568.91,198949.32,-11380.41,-6.07
389,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,605.65,213,778,465441.58,471195.70,-5754.12,-1.24
390,"Road-550-W Yellow, 48",Bikes,Road Bikes,Yellow,713.08,227,670,449694.77,477763.60,-28068.83,-6.24
391,LL Fork,Components,Forks,NA,65.81,83,190,16896.70,12503.90,4392.80,26.00
393,HL Fork,Components,Forks,NA,101.89,117,444,61070.10,45239.16,15830.94,25.92
394,LL Headset,Components,Headsets,NA,15.18,46,95,1949.40,1442.10,507.30,26.02
395,ML Headset,Components,Headsets,NA,45.42,110,659,40100.80,29931.78,10169.02,25.36
396,HL Headset,Components,Headsets,NA,55.38,110,255,19084.20,14121.90,4962.30,26.00
397,LL Mountain Handlebars,Components,Handlebars,NA,17.98,141,420,10201.80,7551.60,2650.20,25.98
398,LL Mountain Handlebars,Components,Handlebars,NA,19.78,145,415,11032.81,8208.70,2824.11,25.60
399,ML Mountain Handlebars,Components,Handlebars,NA,24.99,255,764,25773.40,19092.36,6681.04,25.92
400,ML Mountain Handlebars,Components,Handlebars,NA,27.49,226,636,23595.16,17483.64,6111.52,25.90
401,HL Mountain Handlebars,Components,Handlebars,NA,48.55,109,260,17056.00,12623.00,4433.00,25.99
402,HL Mountain Handlebars,Components,Handlebars,NA,53.40,96,214,15442.24,11427.60,4014.64,26.00
403,LL Road Handlebars,Components,Handlebars,NA,17.98,45,111,2696.19,1995.78,700.41,25.98
404,LL Road Handlebars,Components,Handlebars,NA,19.78,53,102,2725.44,2017.56,707.88,25.97
407,HL Road Handlebars,Components,Handlebars,NA,48.55,133,326,21385.60,15827.30,5558.30,25.99
408,HL Road Handlebars,Components,Handlebars,NA,53.40,122,280,20204.80,14952.00,5252.80,26.00
409,"ML Mountain Frame - Black, 38",Components,Mountain Frames,Black,185.82,226,514,107559.64,95511.48,12048.16,11.20
410,LL Mountain Front Wheel,Components,Wheels,Black,26.97,232,617,22473.79,16640.49,5833.30,25.96
411,ML Mountain Front Wheel,Components,Wheels,Black,92.81,114,266,33361.72,24687.46,8674.26,26.00
412,HL Mountain Front Wheel,Components,Wheels,Black,133.30,104,222,39988.86,29592.60,10396.26,26.00
414,ML Road Front Wheel,Components,Wheels,Black,110.28,194,530,78985.90,58448.40,20537.50,26.00
415,HL Road Front Wheel,Components,Wheels,Black,146.55,206,567,112288.68,83093.85,29194.83,26.00
417,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,300.12,184,496,160927.20,148859.52,12067.68,7.50
418,"ML Road Frame-W - Yellow, 38",Components,Road Frames,Yellow,360.94,157,374,133480.60,134991.56,-1510.96,-1.13
419,LL Mountain Rear Wheel,Components,Wheels,Black,38.96,148,342,18006.30,13324.32,4681.98,26.00
420,ML Mountain Rear Wheel,Components,Wheels,Black,104.80,264,847,119469.95,88765.60,30704.35,25.70
421,HL Mountain Rear Wheel,Components,Wheels,Black,145.28,258,850,166327.25,123488.00,42839.25,25.76
422,LL Road Rear Wheel,Components,Wheels,Black,49.98,303,866,58489.64,43282.68,15206.96,26.00
423,ML Road Rear Wheel,Components,Wheels,Black,122.27,31,64,10574.72,7825.28,2749.44,26.00
424,HL Road Rear Wheel,Components,Wheels,Black,158.53,45,92,19710.08,14584.76,5125.32,26.00
426,"ML Mountain Frame - Black, 40",Components,Mountain Frames,Black,185.82,33,68,14229.68,12635.76,1593.92,11.20
427,"ML Mountain Frame - Black, 44",Components,Mountain Frames,Black,185.82,198,619,129531.94,115022.58,14509.36,11.20
428,"ML Mountain Frame - Black, 48",Components,Mountain Frames,Black,185.82,255,958,200191.88,178015.56,22176.32,11.08
429,"ML Road Frame-W - Yellow, 40",Components,Road Frames,Yellow,300.12,57,132,42827.40,39615.84,3211.56,7.50
430,"ML Road Frame-W - Yellow, 40",Components,Road Frames,Yellow,360.94,31,71,25339.90,25626.74,-286.84,-1.13
433,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,300.12,263,787,255201.62,236194.44,19007.18,7.45
434,"ML Road Frame-W - Yellow, 44",Components,Road Frames,Yellow,360.94,209,597,212623.20,215481.18,-2857.98,-1.34
435,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,300.12,185,493,159953.85,147959.16,11994.69,7.50
436,"ML Road Frame-W - Yellow, 48",Components,Road Frames,Yellow,360.94,148,356,127056.40,128494.64,-1438.24,-1.13
439,"HL Road Frame - Black, 44",Components,Road Frames,Black,868.63,104,246,192081.72,213682.98,-21601.26,-11.25
440,"HL Road Frame - Black, 44",Components,Road Frames,Black,868.63,89,191,164049.90,165908.33,-1858.43,-1.13
441,"HL Road Frame - Black, 48",Components,Road Frames,Black,722.26,21,48,37479.36,34668.48,2810.88,7.50
442,"HL Road Frame - Black, 48",Components,Road Frames,Black,868.63,26,61,52392.90,52986.43,-593.53,-1.13
445,"Men's Sports Shorts, S",Clothing,Shorts,Black,24.75,160,567,20378.73,14033.25,6345.48,31.14
447,Cable Lock,Accessories,Locks,NA,10.31,259,1086,16249.00,11196.66,5052.34,31.09
448,Minipump,Accessories,Pumps,NA,8.25,267,1130,13524.30,9322.50,4201.80,31.07
453,"Men's Sports Shorts, M",Clothing,Shorts,Black,24.75,282,1274,45634.06,31531.50,14102.56,30.90
454,"Men's Sports Shorts, L",Clothing,Shorts,Black,24.75,131,445,16015.55,11013.75,5001.80,31.23
456,"Women's Tights, S",Clothing,Tights,Black,30.93,418,2056,91238.22,63592.08,27646.14,30.30
457,"Women's Tights, M",Clothing,Tights,Black,30.93,114,394,17726.06,12186.42,5539.64,31.25
458,"Women's Tights, L",Clothing,Tights,Black,30.93,437,2112,94076.88,65324.16,28752.72,30.56
459,"Men's Bib-Shorts, S",Clothing,Bib-Shorts,Multi,37.12,229,872,47014.48,32368.64,14645.84,31.15
460,"Men's Bib-Shorts, M",Clothing,Bib-Shorts,Multi,37.12,349,1606,85981.64,59614.72,26366.92,30.67
461,"Men's Bib-Shorts, L",Clothing,Bib-Shorts,Multi,37.12,178,633,34175.67,23496.96,10678.71,31.25
462,"Half-Finger Gloves, S",Clothing,Gloves,Black,9.71,148,520,7341.96,5049.20,2292.76,31.23
463,"Half-Finger Gloves, S",Clothing,Gloves,Black,9.16,228,1116,16306.65,10222.56,6084.09,37.31
464,"Half-Finger Gloves, M",Clothing,Gloves,Black,9.71,257,1059,14904.98,10282.89,4622.09,31.01
465,"Half-Finger Gloves, M",Clothing,Gloves,Black,9.16,302,1751,25380.67,16039.16,9341.51,36.81
466,"Half-Finger Gloves, L",Clothing,Gloves,Black,9.71,97,298,4210.74,2893.58,1317.16,31.28
467,"Half-Finger Gloves, L",Clothing,Gloves,Black,9.16,121,493,7236.78,4515.88,2720.90,37.60
468,"Full-Finger Gloves, S",Clothing,Gloves,Black,15.67,236,493,11235.47,7725.31,3510.16,31.24
469,"Full-Finger Gloves, M",Clothing,Gloves,Black,15.67,355,2197,48719.67,34426.99,14292.68,29.34
470,"Full-Finger Gloves, L",Clothing,Gloves,Black,15.67,361,3365,72035.93,52729.55,19306.38,26.80
471,"Classic Vest, S",Clothing,Vests,Blue,23.75,466,3696,135091.34,87780.00,47311.34,35.02
472,"Classic Vest, M",Clothing,Vests,Blue,23.75,326,1911,71700.84,45386.25,26314.59,36.70
473,"Classic Vest, L",Clothing,Vests,Blue,23.75,6,12,457.20,285.00,172.20,37.66
474,"Women's Mountain Shorts, S",Clothing,Shorts,Black,26.18,310,2729,108582.71,71445.22,37137.49,34.20
475,"Women's Mountain Shorts, M",Clothing,Shorts,Black,26.18,300,719,30190.81,18823.42,11367.39,37.65
476,"Women's Mountain Shorts, L",Clothing,Shorts,Black,26.18,310,2635,104495.23,68984.30,35510.93,33.98
477,Water Bottle - 30 oz.,Accessories,Bottles and Cages,NA,1.87,402,2348,6885.93,4390.76,2495.17,36.24
480,Patch Kit/8 Patches,Accessories,Tires and Tubes,NA,0.86,151,607,831.11,522.02,309.09,37.19
481,"Racing Socks, M",Clothing,Socks,White,3.36,273,1158,6223.26,3890.88,2332.38,37.48
482,"Racing Socks, L",Clothing,Socks,White,3.36,303,1996,10446.69,6706.56,3740.13,35.80
483,Hitch Rack - 4-Bike,Accessories,Bike Racks,NA,44.88,418,2585,182007.60,116014.80,65992.80,36.26
484,Bike Wash - Dissolver,Accessories,Cleaners,NA,2.97,378,2173,10179.94,6453.81,3726.13,36.60
487,Hydration Pack - 70 oz.,Accessories,Hydration Packs,Silver,20.57,311,1820,59218.45,37437.40,21781.05,36.78
488,"Short-Sleeve Classic Jersey, S",Clothing,Jerseys,Yellow,41.57,285,1419,45660.09,58987.83,-13327.74,-29.19
490,"Short-Sleeve Classic Jersey, L",Clothing,Jerseys,Yellow,41.57,393,2217,70772.91,92160.69,-21387.78,-30.22
491,"Short-Sleeve Classic Jersey, XL",Clothing,Jerseys,Yellow,41.57,447,3159,99384.28,131319.63,-31935.35,-32.13
492,"HL Touring Frame - Yellow, 60",Components,Touring Frames,Yellow,601.74,114,335,201325.41,201582.90,-257.49,-0.13
493,"LL Touring Frame - Yellow, 62",Components,Touring Frames,Yellow,199.85,110,312,62098.87,62353.20,-254.33,-0.41
494,"HL Touring Frame - Yellow, 46",Components,Touring Frames,Yellow,601.74,37,82,49392.70,49342.68,50.02,0.10
495,"HL Touring Frame - Yellow, 50",Components,Touring Frames,Yellow,601.74,38,81,48790.35,48740.94,49.41,0.10
496,"HL Touring Frame - Yellow, 54",Components,Touring Frames,Yellow,601.74,138,477,286055.91,287029.98,-974.07,-0.34
497,"HL Touring Frame - Blue, 46",Components,Touring Frames,Blue,601.74,51,102,61439.70,61377.48,62.22,0.10
